facility_id,facility_name,report_date,daily_volume,rolling_7_day_avg,volume_difference,race_missing_pct,phone_missing_pct,avg_delay_days,anomaly_flag,anomaly_label,anomaly_type
F001,Northside Medical Center,2024-12-29,3,3.0,0.0,0.3333333333333333,0.0,0.0,1,Normal,Normal
F001,Northside Medical Center,2024-12-30,2,2.5,-0.5,0.5,0.0,1.0,-1,Anomaly,Data quality issue
F001,Northside Medical Center,2024-12-31,7,4.0,3.0,0.14285714285714285,0.0,1.4285714285714286,1,Normal,Normal
F001,Northside Medical Center,2025-01-01,13,6.25,6.75,0.0,0.15384615384615385,1.0,1,Normal,Normal
F001,Northside Medical Center,2025-01-02,12,7.4,4.6,0.08333333333333333,0.08333333333333333,1.5,1,Normal,Normal
F001,Northside Medical Center,2025-01-03,20,9.5,10.5,0.15,0.0,1.75,1,Normal,Normal
F001,Northside Medical Center,2025-01-04,17,10.571428571428571,6.428571428571429,0.058823529411764705,0.058823529411764705,1.7647058823529411,1,Normal,Normal
F001,Northside Medical Center,2025-01-05,18,12.714285714285714,5.2857142857142865,0.1111111111111111,0.16666666666666666,2.5555555555555554,1,Normal,Normal
F001,Northside Medical Center,2025-01-06,16,14.714285714285714,1.2857142857142865,0.0625,0.1875,2.125,1,Normal,Normal
F001,Northside Medical Center,2025-01-07,26,17.428571428571427,8.571428571428573,0.11538461538461539,0.07692307692307693,2.6538461538461537,1,Normal,Normal
F001,Northside Medical Center,2025-01-08,26,19.285714285714285,6.714285714285715,0.19230769230769232,0.11538461538461539,3.3461538461538463,1,Normal,Normal
F001,Northside Medical Center,2025-01-09,29,21.714285714285715,7.285714285714285,0.10344827586206896,0.10344827586206896,4.517241379310345,1,Normal,Normal
F001,Northside Medical Center,2025-01-10,23,22.142857142857142,0.8571428571428577,0.17391304347826086,0.043478260869565216,4.173913043478261,1,Normal,Normal
F001,Northside Medical Center,2025-01-11,20,22.571428571428573,-2.571428571428573,0.15,0.1,2.75,1,Normal,Normal
F001,Northside Medical Center,2025-01-12,23,23.285714285714285,-0.2857142857142847,0.13043478260869565,0.08695652173913043,2.6956521739130435,1,Normal,Normal
F001,Northside Medical Center,2025-01-13,19,23.714285714285715,-4.714285714285715,0.15789473684210525,0.10526315789473684,3.9473684210526314,1,Normal,Normal
F001,Northside Medical Center,2025-01-14,28,24.0,4.0,0.10714285714285714,0.07142857142857142,3.4642857142857144,1,Normal,Normal
F001,Northside Medical Center,2025-01-15,23,23.571428571428573,-0.571428571428573,0.08695652173913043,0.17391304347826086,3.0,1,Normal,Normal
F001,Northside Medical Center,2025-01-16,27,23.285714285714285,3.7142857142857153,0.1111111111111111,0.14814814814814814,3.259259259259259,1,Normal,Normal
F001,Northside Medical Center,2025-01-17,24,23.428571428571427,0.571428571428573,0.16666666666666666,0.08333333333333333,3.25,1,Normal,Normal
F001,Northside Medical Center,2025-01-18,20,23.428571428571427,-3.428571428571427,0.25,0.05,2.55,1,Normal,Normal
F001,Northside Medical Center,2025-01-19,23,23.428571428571427,-0.42857142857142705,0.08695652173913043,0.13043478260869565,2.869565217391304,1,Normal,Normal
F001,Northside Medical Center,2025-01-20,22,23.857142857142858,-1.8571428571428577,0.09090909090909091,0.045454545454545456,2.4545454545454546,1,Normal,Normal
F001,Northside Medical Center,2025-01-21,22,23.0,-1.0,0.045454545454545456,0.045454545454545456,3.0454545454545454,1,Normal,Normal
